Date,JP,UK,US,Euro,Pac
8/31/1994, 0.2854 , 0.0940 , 0.3780 , 0.1782 , 0.0644 
9/30/1994, 0.2792 , 0.0964 , 0.3807 , 0.1768 , 0.0669 
10/31/1994, 0.2792 , 0.0941 , 0.3850 , 0.1746 , 0.0671 
11/30/1994, 0.2792 , 0.0967 , 0.3817 , 0.1760 , 0.0663 
12/30/1994, 0.2777 , 0.0967 , 0.3849 , 0.1779 , 0.0628 
1/31/1995, 0.2784 , 0.0957 , 0.3868 , 0.1779 , 0.0612 
2/28/1995, 0.2663 , 0.0955 , 0.4010 , 0.1809 , 0.0564 
3/31/1995, 0.2503 , 0.0946 , 0.4113 , 0.1844 , 0.0595 
4/28/1995, 0.2610 , 0.0977 , 0.4024 , 0.1814 , 0.0574 
5/31/1995, 0.2651 , 0.0958 , 0.3996 , 0.1831 , 0.0564 
6/30/1995, 0.2468 , 0.0972 , 0.4119 , 0.1842 , 0.0599 
7/31/1995, 0.2348 , 0.0968 , 0.4214 , 0.1882 , 0.0588 
8/31/1995, 0.2420 , 0.0973 , 0.4131 , 0.1891 , 0.0585 
9/29/1995, 0.2368 , 0.0962 , 0.4209 , 0.1878 , 0.0583 
10/31/1995, 0.2322 , 0.0960 , 0.4262 , 0.1882 , 0.0575 
11/30/1995, 0.2226 , 0.0972 , 0.4323 , 0.1905 , 0.0574 
12/29/1995, 0.2274 , 0.0957 , 0.4347 , 0.1865 , 0.0558 
1/31/1996, 0.2315 , 0.0961 , 0.4300 , 0.1867 , 0.0557 
2/29/1996, 0.2248 , 0.0942 , 0.4362 , 0.1859 , 0.0588 
3/29/1996, 0.2194 , 0.0941 , 0.4382 , 0.1890 , 0.0592 
4/30/1996, 0.2246 , 0.0909 , 0.4350 , 0.1905 , 0.0591 
5/31/1996, 0.2318 , 0.0918 , 0.4318 , 0.1855 , 0.0590 
6/28/1996, 0.2207 , 0.0919 , 0.4385 , 0.1878 , 0.0611 
7/31/1996, 0.2214 , 0.0908 , 0.4378 , 0.1898 , 0.0603 
8/30/1996, 0.2189 , 0.0941 , 0.4336 , 0.1944 , 0.0590 
9/30/1996, 0.2070 , 0.0976 , 0.4381 , 0.1960 , 0.0612 
10/31/1996, 0.2056 , 0.0959 , 0.4462 , 0.1919 , 0.0604 
11/29/1996, 0.1912 , 0.0995 , 0.4544 , 0.1935 , 0.0615 
12/31/1996, 0.1840 , 0.0991 , 0.4615 , 0.1942 , 0.0612 
1/31/1997, 0.1742 , 0.1038 , 0.4573 , 0.2023 , 0.0624 
2/28/1997, 0.1527 , 0.0988 , 0.4838 , 0.2034 , 0.0612 
3/31/1997, 0.1548 , 0.1004 , 0.4816 , 0.2020 , 0.0612 
4/30/1997, 0.1530 , 0.1035 , 0.4684 , 0.2153 , 0.0598 
5/30/1997, 0.1536 , 0.1018 , 0.4825 , 0.2053 , 0.0568 
6/30/1997, 0.1677 , 0.0982 , 0.4824 , 0.1973 , 0.0544 
7/31/1997, 0.1718 , 0.0947 , 0.4799 , 0.2002 , 0.0534 
8/29/1997, 0.1595 , 0.0947 , 0.4929 , 0.2013 , 0.0516 
9/30/1997, 0.1556 , 0.0992 , 0.4998 , 0.1987 , 0.0466 
10/31/1997, 0.1455 , 0.1023 , 0.4987 , 0.2078 , 0.0458 
11/28/1997, 0.1392 , 0.1034 , 0.5096 , 0.2099 , 0.0379 
12/31/1997, 0.1287 , 0.0997 , 0.5239 , 0.2108 , 0.0369 
1/30/1998, 0.1193 , 0.1035 , 0.5230 , 0.2180 , 0.0363 
2/27/1998, 0.1264 , 0.1053 , 0.5149 , 0.2202 , 0.0332 
3/31/1998, 0.1187 , 0.1042 , 0.5149 , 0.2265 , 0.0358 
4/30/1998, 0.1062 , 0.1053 , 0.5193 , 0.2353 , 0.0339 
5/29/1998, 0.1046 , 0.1040 , 0.5207 , 0.2397 , 0.0310 
6/30/1998, 0.0999 , 0.1085 , 0.5152 , 0.2487 , 0.0278 
7/31/1998, 0.0983 , 0.1075 , 0.5194 , 0.2495 , 0.0252 
8/31/1998, 0.0969 , 0.1050 , 0.5150 , 0.2589 , 0.0242 
9/30/1998, 0.0993 , 0.1098 , 0.5107 , 0.2548 , 0.0254 
10/30/1998, 0.0953 , 0.1085 , 0.5302 , 0.2402 , 0.0259 
11/30/1998, 0.1013 , 0.1046 , 0.5252 , 0.2403 , 0.0286 
12/31/1998, 0.0991 , 0.1020 , 0.5248 , 0.2461 , 0.0279 
1/29/1999, 0.0987 , 0.1011 , 0.5262 , 0.2476 , 0.0264 
2/26/1999, 0.0969 , 0.1006 , 0.5370 , 0.2397 , 0.0257 
3/31/1999, 0.0976 , 0.1056 , 0.5329 , 0.2370 , 0.0269 
4/30/1999, 0.1071 , 0.1046 , 0.5366 , 0.2241 , 0.0275 
5/31/1999, 0.1069 , 0.1058 , 0.5341 , 0.2223 , 0.0308 
6/30/1999, 0.1056 , 0.1043 , 0.5395 , 0.2210 , 0.0297 
7/30/1999, 0.1098 , 0.1009 , 0.5417 , 0.2173 , 0.0303 
8/31/1999, 0.1208 , 0.1042 , 0.5242 , 0.2206 , 0.0302 
9/30/1999, 0.1274 , 0.1003 , 0.5264 , 0.2174 , 0.0284 
10/29/1999, 0.1372 , 0.1000 , 0.5189 , 0.2157 , 0.0282 
11/30/1999, 0.1353 , 0.0969 , 0.5259 , 0.2149 , 0.0269 
12/31/1999, 0.1358 , 0.0963 , 0.5167 , 0.2217 , 0.0295 
1/31/2000, 0.1335 , 0.0939 , 0.5116 , 0.2316 , 0.0294 
2/29/2000, 0.1369 , 0.0909 , 0.5180 , 0.2251 , 0.0292 
3/31/2000, 0.1324 , 0.0950 , 0.5028 , 0.2410 , 0.0287 
4/28/2000, 0.1340 , 0.0963 , 0.5163 , 0.2264 , 0.0270 
5/31/2000, 0.1294 , 0.0976 , 0.5203 , 0.2258 , 0.0269 
6/30/2000, 0.1253 , 0.0974 , 0.5189 , 0.2319 , 0.0265 
7/31/2000, 0.1282 , 0.0930 , 0.5207 , 0.2296 , 0.0285 
8/31/2000, 0.1167 , 0.0968 , 0.5290 , 0.2296 , 0.0278 
9/29/2000, 0.1157 , 0.0921 , 0.5534 , 0.2117 , 0.0271 
10/31/2000, 0.1181 , 0.0936 , 0.5502 , 0.2113 , 0.0267 
11/30/2000, 0.1129 , 0.0957 , 0.5530 , 0.2128 , 0.0256 
12/29/2000, 0.1154 , 0.0921 , 0.5419 , 0.2234 , 0.0272 
1/31/2001, 0.1065 , 0.1010 , 0.5265 , 0.2380 , 0.0280 
2/28/2001, 0.1025 , 0.0971 , 0.5387 , 0.2336 , 0.0281 
3/30/2001, 0.1059 , 0.0985 , 0.5358 , 0.2303 , 0.0295 
4/30/2001, 0.1104 , 0.1001 , 0.5365 , 0.2251 , 0.0279 
5/31/2001, 0.1099 , 0.0991 , 0.5388 , 0.2249 , 0.0273 
6/29/2001, 0.1113 , 0.0980 , 0.5498 , 0.2133 , 0.0276 
7/31/2001, 0.1082 , 0.0972 , 0.5541 , 0.2106 , 0.0284 
8/31/2001, 0.1014 , 0.0989 , 0.5563 , 0.2145 , 0.0275 
9/28/2001, 0.1038 , 0.1025 , 0.5464 , 0.2172 , 0.0285 
10/31/2001, 0.1029 , 0.1058 , 0.5521 , 0.2111 , 0.0266 
11/30/2001, 0.1007 , 0.1056 , 0.5502 , 0.2143 , 0.0276 
12/31/2001, 0.0904 , 0.1052 , 0.5794 , 0.1963 , 0.0272 
1/31/2002, 0.0832 , 0.1055 , 0.5836 , 0.1985 , 0.0277 
2/28/2002, 0.0790 , 0.1043 , 0.5936 , 0.1928 , 0.0288 
3/29/2002, 0.0831 , 0.1044 , 0.5872 , 0.1953 , 0.0286 
4/30/2002, 0.0842 , 0.1042 , 0.5837 , 0.1980 , 0.0286 
5/31/2002, 0.0923 , 0.1082 , 0.5667 , 0.2018 , 0.0298 
6/28/2002, 0.0912 , 0.1109 , 0.5843 , 0.1835 , 0.0285 
7/31/2002, 0.0923 , 0.1131 , 0.5749 , 0.1895 , 0.0287 
8/30/2002, 0.0937 , 0.1151 , 0.5820 , 0.1781 , 0.0295 
9/30/2002, 0.0922 , 0.1132 , 0.5841 , 0.1790 , 0.0297 
10/31/2002, 0.0993 , 0.1136 , 0.5831 , 0.1710 , 0.0313 
11/29/2002, 0.0860 , 0.1147 , 0.5902 , 0.1768 , 0.0308 
12/31/2002, 0.0850 , 0.1118 , 0.5923 , 0.1796 , 0.0299 
1/31/2003, 0.0872 , 0.1150 , 0.5857 , 0.1801 , 0.0305 
2/28/2003, 0.0864 , 0.1104 , 0.5909 , 0.1790 , 0.0318 
3/31/2003, 0.0889 , 0.1102 , 0.5923 , 0.1752 , 0.0319 
4/30/2003, 0.0853 , 0.1113 , 0.5971 , 0.1728 , 0.0321 
5/30/2003, 0.0775 , 0.1120 , 0.5962 , 0.1817 , 0.0311 
6/30/2003, 0.0780 , 0.1119 , 0.5961 , 0.1817 , 0.0308 
7/31/2003, 0.0811 , 0.1088 , 0.6008 , 0.1769 , 0.0309 
8/29/2003, 0.0825 , 0.1071 , 0.5986 , 0.1792 , 0.0309 
9/30/2003, 0.0898 , 0.1036 , 0.5981 , 0.1751 , 0.0316 
10/31/2003, 0.0943 , 0.1067 , 0.5883 , 0.1764 , 0.0326 
11/28/2003, 0.0932 , 0.1075 , 0.5867 , 0.1778 , 0.0332 
12/31/2003, 0.0890 , 0.1084 , 0.5831 , 0.1851 , 0.0325 
1/30/2004, 0.0895 , 0.1096 , 0.5769 , 0.1895 , 0.0327 
2/27/2004, 0.0899 , 0.1076 , 0.5774 , 0.1902 , 0.0330 
3/31/2004, 0.0883 , 0.1103 , 0.5739 , 0.1916 , 0.0339 
4/30/2004, 0.1007 , 0.1074 , 0.5696 , 0.1863 , 0.0340 
