Index,JP,UK,US,Euro,Pac,,,,,,
1994-07-29,-0.0127225756,0.0056348683,0.0053479317,0.0096151805,0.0087404488,,-1.2721771566,0.5632012915,0.5348462625,0.9614530682,0.8742338827
1994-08-31,0.0021963707,0.0093816585,0.0137186341,0.0027990439,0.0089978927,,0.2196594528,0.9383986514,1.3717052999,0.2798342004,0.9000272906
1994-09-30,-0.0049804878,-0.0053513756,-0.0092853659,-0.0067270244,-0.001563161,,-0.4980106214,-0.5353666784,-0.9286432698,-0.6725426667,-0.1562904564
1994-10-31,0.00794338,0.00635175,0.0139755,0.00728082,0.00200361,,0.7944510377,0.6353140196,1.3973931653,0.7281314074,0.200335201
1994-11-30,-0.013560236,-0.0038006901,-0.0153077008,-0.0062310231,-0.008860396,,-1.3559900905,-0.3799888591,-1.5307942723,-0.6232102055,-0.8859701836
1994-12-31,0.003955122,0.0006509561,0.0084114732,0.0008678049,0.0012547512,,0.3955089159,0.0651095246,0.8412357276,0.08677399,0.1254395717
1995-01-31,-0.01531602,-0.00169389,0.00755664,0.00116389,-0.01016052,,-1.5313870233,-0.1693743557,0.7556840529,0.1164169725,-1.0160109156
1995-02-28,-0.0129063572,0.0019198505,0.0195414167,0.0043399116,0.0072608147,,-1.2905324979,0.1919249407,1.9543138369,0.4341124549,0.7259338602
1995-03-31,0.0146517793,-0.0007955287,0.0113886781,0.0032666188,0.0004580043,,1.4651804879,-0.0795247248,1.1390473854,0.3266309964,0.0457949782
1995-04-28,0.0089479947,0.0034173454,0.0187393169,0.0071839368,0.0064903888,,0.8949151595,0.3417675442,1.8739148684,0.7183691949,0.6489341576
1995-05-31,-0.0169289053,0.0031361895,0.0216625263,0.0024938737,0.0019779158,,-1.6930453946,0.3137390877,2.1661927127,0.2493221695,0.1977791766
1995-06-30,-0.00496502,0.0013608,0.01680552,0.00311298,-0.00206397,,-0.4964194507,0.136061228,1.6807309757,0.3112209971,-0.2064638144
1995-07-31,0.0167369474,0.0112389895,0.0163237053,0.0094848842,0.0060843789,,1.6731943747,1.1240424127,1.6324589892,0.9483911748,0.6085595332
1995-08-31,0.0023714,0.00186816,-0.00310277,-0.00742794,-0.00084105,,0.2371240951,0.1868569558,-0.3102526964,-0.7430462488,-0.0840917107
1995-09-29,-0.0001703158,0.0051846737,0.0198487579,0.0042645474,0.0022731158,,-0.0170341862,0.5185921498,1.9847840193,0.4264593021,0.2272605298
1995-10-31,-0.0088173317,0.0025597562,0.0085254357,-0.0025628607,-0.00082016,,-0.8816252277,0.2560615066,0.8525682871,-0.256273736,-0.0820050315
1995-11-30,0.00940212,0.00124416,0.01880505,0.0043053,0.00115188,,0.9402044473,0.1244593662,1.880540401,0.4304880066,0.1151686414
1995-12-31,0.0104246539,0.0018549174,0.0015603015,-0.0008259153,0.0058798482,,1.0422853114,0.1854304175,0.1560398941,-0.0825914692,0.5881015128
1996-01-31,0.0017014359,-0.0012221949,0.0237271795,0.0012898872,0.0106355077,,0.1701539515,-0.1222469656,2.3726265913,0.1290215228,1.0632136947
1996-02-29,-0.0024112963,0.0012292028,0.0130591866,0.0095968949,0.0015675207,,-0.2411803159,0.1229400878,1.3057376721,0.959640176,0.1567875308
1996-03-29,0.0051122712,0.0001505751,0.004470087,-0.0003213321,0.0003355336,,0.5111995742,0.0150624551,0.4469785878,-0.0321326297,0.0335558063
1996-04-30,0.0114582142,0.00219956,0.0024792521,0.0068192181,0.0038751025,,1.1459588317,0.2199042571,0.2479338917,0.6818123428,0.3875645388
1996-05-31,-0.0080760076,0.0025522952,0.0131280328,0.002819882,-0.0006566657,,-0.8076661093,0.2552268838,1.312778473,0.2819312387,-0.0656831748
1996-06-28,0.0007056308,-0.0009048615,0.0013492308,0.0045457231,-0.0011865128,,0.0705395003,-0.0905169287,0.1349081256,0.4546428125,-0.11867616
